  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00634   0.00148   0.0000   0.6087   0.6084
   0.300   0.0327   0.00635   0.00148   0.0003   0.5856   0.6320
   0.600   0.0654   0.00637   0.00150   0.0006   0.5623   0.6553
   0.900   0.0980   0.00639   0.00152   0.0009   0.5388   0.6787
   1.200   0.1308   0.00642   0.00156   0.0012   0.5161   0.7019
   1.500   0.1634   0.00647   0.00160   0.0015   0.4936   0.7249
   1.800   0.1959   0.00654   0.00166   0.0019   0.4703   0.7480
   2.100   0.2284   0.00660   0.00173   0.0022   0.4475   0.7701
   2.400   0.2610   0.00669   0.00181   0.0025   0.4249   0.7918
   2.700   0.2933   0.00679   0.00190   0.0029   0.4021   0.8130
   3.000   0.3255   0.00691   0.00200   0.0033   0.3799   0.8329
   3.300   0.3578   0.00704   0.00212   0.0037   0.3571   0.8520
   3.600   0.3898   0.00720   0.00225   0.0042   0.3348   0.8699
   3.900   0.4217   0.00738   0.00239   0.0047   0.3132   0.8867
   4.200   0.4532   0.00758   0.00255   0.0052   0.2910   0.9021
   4.500   0.4847   0.00780   0.00271   0.0058   0.2694   0.9161
   4.800   0.5158   0.00803   0.00289   0.0064   0.2488   0.9293
   5.100   0.5465   0.00829   0.00309   0.0071   0.2292   0.9416
   5.400   0.5774   0.00857   0.00330   0.0077   0.2094   0.9522
   5.700   0.6087   0.00886   0.00353   0.0083   0.1909   0.9616
   6.000   0.6413   0.00919   0.00377   0.0085   0.1733   0.9698
   6.300   0.6762   0.00952   0.00403   0.0082   0.1565   0.9764
   6.600   0.7136   0.00989   0.00432   0.0072   0.1407   0.9811
   6.900   0.7528   0.01028   0.00462   0.0059   0.1259   0.9848
   7.200   0.7946   0.01068   0.00495   0.0039   0.1125   0.9868
   7.500   0.8357   0.01108   0.00528   0.0020   0.1010   0.9890
   7.800   0.8762   0.01151   0.00564   0.0003   0.0910   0.9912
   8.100   0.9169   0.01190   0.00599  -0.0015   0.0825   0.9933
   8.400   0.9573   0.01232   0.00637  -0.0032   0.0751   0.9953
   8.700   0.9976   0.01274   0.00676  -0.0050   0.0687   0.9972
   9.000   1.0377   0.01318   0.00716  -0.0067   0.0633   0.9989
   9.300   1.0716   0.01359   0.00756  -0.0072   0.0589   1.0000
   9.600   1.0899   0.01398   0.00793  -0.0044   0.0558   1.0000
   9.900   1.1090   0.01431   0.00828  -0.0018   0.0530   1.0000
  10.200   1.1272   0.01470   0.00867   0.0010   0.0505   1.0000
  10.500   1.1457   0.01511   0.00907   0.0037   0.0481   1.0000
  10.800   1.1649   0.01552   0.00950   0.0062   0.0460   1.0000
  11.100   1.1837   0.01599   0.00998   0.0087   0.0440   1.0000
  11.400   1.2037   0.01646   0.01047   0.0110   0.0422   1.0000
  11.700   1.2238   0.01698   0.01100   0.0131   0.0405   1.0000
  12.000   1.2435   0.01754   0.01159   0.0152   0.0389   1.0000
  12.300   1.2612   0.01809   0.01217   0.0177   0.0375   1.0000
  12.600   1.2758   0.01883   0.01293   0.0204   0.0363   1.0000
  12.900   1.2948   0.01944   0.01359   0.0223   0.0351   1.0000
  13.200   1.3115   0.02022   0.01440   0.0243   0.0340   1.0000
  13.500   1.3259   0.02118   0.01540   0.0264   0.0329   1.0000
  13.800   1.3430   0.02204   0.01633   0.0280   0.0320   1.0000
  14.100   1.3575   0.02312   0.01745   0.0297   0.0311   1.0000
  14.400   1.3668   0.02460   0.01897   0.0315   0.0303   1.0000
  14.700   1.3818   0.02580   0.02025   0.0327   0.0295   1.0000
  15.000   1.3944   0.02723   0.02175   0.0338   0.0288   1.0000
  15.300   1.4040   0.02900   0.02358   0.0347   0.0281   1.0000
  15.600   1.4069   0.03148   0.02612   0.0355   0.0275   1.0000
  15.900   1.4170   0.03346   0.02821   0.0358   0.0269   1.0000
  16.200   1.4236   0.03589   0.03073   0.0360   0.0264   1.0000
  16.500   1.4279   0.03868   0.03361   0.0358   0.0259   1.0000
  16.800   1.4280   0.04205   0.03706   0.0352   0.0255   1.0000
  17.100   1.4211   0.04638   0.04148   0.0342   0.0251   1.0000
  17.400   1.4157   0.05071   0.04594   0.0329   0.0247   1.0000
  17.700   1.4117   0.05501   0.05037   0.0315   0.0244   1.0000
  18.000   1.4043   0.05989   0.05536   0.0298   0.0240   1.0000
  18.300   1.3930   0.06539   0.06099   0.0276   0.0238   1.0000
  18.600   1.3789   0.07142   0.06714   0.0252   0.0235   1.0000
  18.900   1.3624   0.07792   0.07376   0.0224   0.0233   1.0000
  19.200   1.3429   0.08497   0.08094   0.0194   0.0231   1.0000
  19.500   1.3222   0.09233   0.08842   0.0161   0.0229   1.0000
  19.800   1.3008   0.09988   0.09607   0.0126   0.0228   1.0000
  20.100   1.2792   0.10756   0.10384   0.0090   0.0225   1.0000
