1.00000	0.00000
0.99815	0.00017
0.99265	0.00079
0.98367	0.00197
0.97138	0.00375
0.95600	0.00615
0.93777	0.00913
0.91689	0.01264
0.89359	0.01657
0.86806	0.02082
0.84049	0.02528
0.81106	0.02984
0.77993	0.03442
0.74727	0.03894
0.71326	0.04334
0.67810	0.04760
0.64203	0.05168
0.60526	0.05549
0.56801	0.05899
0.53053	0.06214
0.49301	0.06485
0.45566	0.06712
0.41872	0.06887
0.38237	0.07007
0.34681	0.07071
0.31224	0.07073
0.27881	0.07012
0.24673	0.06888
0.21613	0.06699
0.18713	0.06448
0.15991	0.06134
0.13456	0.05759
0.11118	0.05331
0.08989	0.04850
0.07072	0.04323
0.05378	0.03760
0.03911	0.03165
0.02670	0.02552
0.01662	0.01937
0.00895	0.01331
0.00365	0.00752
0.00075	0.00224
0.00048	-0.00179
0.00371	-0.00497
0.01052	-0.00821
0.02026	-0.01131
0.03286	-0.01407
0.04832	-0.01642
0.06658	-0.01840
0.08751	-0.02002
0.11103	-0.02126
0.13700	-0.02212
0.16529	-0.02262
0.19574	-0.02278
0.22816	-0.02262
0.26238	-0.02216
0.29819	-0.02144
0.33536	-0.02048
0.37368	-0.01932
0.41289	-0.01800
0.45274	-0.01655
0.49296	-0.01498
0.53331	-0.01329
0.57358	-0.01151
0.61352	-0.00973
0.65286	-0.00799
0.69133	-0.00635
0.72863	-0.00485
0.76451	-0.00351
0.79869	-0.00236
0.83091	-0.00140
0.86091	-0.00064
0.88847	-0.00005
0.91340	0.00039
0.93553	0.00069
0.95469	0.00082
0.97069	0.00079
0.98337	0.00062
0.99256	0.00037
0.99813	0.00012
1.00000	0.00000
